#*****************************************************************************************************,,,,,,,,,,,,,
# eastern_airports.csv,,,,,,,,,,,,,
# This file contains information about approximately 2400 airports in the Eastern hemisphere.  ,,,,,,,,,,,,,
# The data for each airport includes the following fields:,,,,,,,,,,,,,
# Field 01 - ICAO Code: 4 character ICAO code ,,,,,,,,,,,,,
# Field 02 - IATA Code: 3 character IATA code ,,,,,,,,,,,,,
# Field 03 - Airport Name: string of varying length ,,,,,,,,,,,,,
# Field 04 - City,Town or Suburb: string of varying length ,,,,,,,,,,,,
# Field 05 - Country: string of varying length ,,,,,,,,,,,,,
# Field 06 - Latitude Degrees: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 07 - Latitude Minutes: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 08 - Latitude Seconds: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 09 - Latitude Direction: 1 ASCII character either N or S representing compass direction ,,,,,,,,,,,,,
# Field 10 - Longitude Degrees: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 11 - Longitude Minutes: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 12 - Longitude Seconds: 2 ASCII characters representing one numeric value ,,,,,,,,,,,,,
# Field 13 - Longitude Direction: 1 ASCII character either E or W representing compass direction ,,,,,,,,,,,,,
# Field 14 - Altitude: varying sequence of ASCII characters representing a numeric value corresponding ,,,,,,,,,,,,,
#            to the airport's altitude from mean sea level (ie: ``123'' or ``-123'') ,,,,,,,,,,,,,
#*****************************************************************************************************,,,,,,,,,,,,,
EDAC,AOC,ALTENBURG NOBITZ,ALTENBURG,GERMANY,50,58,54,N,12,30,22,E,640
EDAD,N/A,DESSAU,DESSAU,GERMANY,51,49,55,N,12,11,9,E,187
EDAE,N/A,EISENHUTTENSTADT,EISENHUETTENSTADT,GERMANY,52,11,50,N,14,35,8,E,149
EDAH,N/A,HERINGSDORF,HERINGSDORF,GERMANY,53,52,43,N,14,9,8,E,93
EDAK,N/A,GROSSENHAIN,SUHL,GERMANY,51,18,29,N,13,33,17,E,417
EDAM,N/A,MERSEBURG,MUEHLHAUSEN,GERMANY,51,21,46,N,11,56,27,E,340
EDAQ,N/A,HALLE OPPIN,HALLE,GERMANY,51,33,7,N,12,3,9,E,347
EDAU,N/A,RIESA GOHLIS,RIESA,GERMANY,51,17,40,N,13,21,32,E,322
EDAX,N/A,RECHLIN LARZ,RECHLIN-LAERZ,GERMANY,53,18,23,N,12,45,11,E,220
EDAY,N/A,STRAUSBERG,STRAUSBERG,GERMANY,52,34,47,N,13,54,56,E,263
EDAZ,N/A,SCHONHAGEN,SCHOENHAGEN,GERMANY,52,12,12,N,13,9,31,E,131
EDBC,N/A,COCHSTEDT SCHNEIDLINGEN,COCHSTEDT,GERMANY,51,51,21,N,11,25,5,E,596
EDBH,N/A,BARTH,BARTH,GERMANY,54,20,17,N,12,42,36,E,23
EDBJ,N/A,JENA SCHONGLEINA,JENA,GERMANY,50,55,2,N,11,42,49,E,123
EDBK,N/A,KYRITZ,KYRITZ,GERMANY,52,55,7,N,12,25,31,E,130
EDBM,N/A,MAGDEBURG,MAGDEBURG,GERMANY,52,4,25,N,11,37,35,E,267
EDBN,N/A,BRANDIS WALDPOLENZ,NEUBRANDENBURG,GERMANY,51,19,41,N,12,39,24,E,535
EDBR,N/A,ROTHENBURG GORLITZ,ROTHENBURG/OL,GERMANY,51,21,52,N,14,57,7,E,517
EDCA,N/A,ANKLAM,ANKLAM,GERMANY,53,49,57,N,13,40,8,E,18
EDCD,N/A,COTTBUS DREWITZ,COTTBUS,GERMANY,51,53,22,N,14,31,54,E,274
EDCK,N/A,KOTHEN,KOETHEN,GERMANY,51,43,16,N,11,57,42,E,304
EDCM,N/A,KAMENZ,KAMENZ,GERMANY,51,17,46,N,14,7,44,E,495
EDDB,SXF,SCHONEFELD,BERLIN,GERMANY,52,22,48,N,13,31,21,E,157
EDDC,DRS,DRESDEN,DRESDEN,GERMANY,51,7,57,N,13,46,1,E,755
EDDE,ERF,ERFURT,ERFURT,GERMANY,50,58,48,N,10,57,29,E,1034
EDDF,FRA,FRANKFURT MAIN,FRANKFURT,GERMANY,50,1,35,N,8,32,35,E,364
EDDG,FMO,MUNSTER OSNABRUCK,MUENSTER/OSNABRUECK,GERMANY,52,8,4,N,7,41,5,E,159
EDDH,HAM,HAMBURG,HAMBURG,GERMANY,53,37,49,N,9,59,17,E,53
EDDI,THF,TEMPELHOF,BERLIN,GERMANY,52,28,22,N,13,24,14,E,163
EDDK,CGN,KOLN BONN,COLOGNE,GERMANY,50,51,57,N,7,8,33,E,302
EDDL,DUS,DUSSELDORF,DUESSELDORF,GERMANY,51,17,22,N,6,46,0,E,147
EDDM,MUC,MUNICH,MUNICH,GERMANY,48,21,13,N,11,47,9,E,1487
EDDN,NUE,NURNBERG,NUERNBERG,GERMANY,49,29,55,N,11,4,41,E,1046
EDDP,LEJ,LEIPZIG HALLE,LEIPZIG,GERMANY,51,25,26,N,12,14,10,E,465
EDDR,SCN,SAARBRUCKEN,SAARBRUECKEN,GERMANY,49,12,52,N,7,6,34,E,1057
EDDS,STR,STUTTGART,STUTTGART,GERMANY,48,41,23,N,9,13,19,E,1276
EDDT,TXL,TEGEL,BERLIN,GERMANY,52,33,34,N,13,17,15,E,122
EDDV,HAJ,HANNOVER,HANNOVER,GERMANY,52,27,39,N,9,41,6,E,183
EDDW,BRE,BREMEN,BREMEN,GERMANY,53,2,51,N,8,47,12,E,14
EDFE,N/A,EGELSBACH,EGELSBACH,GERMANY,49,57,39,N,8,38,37,E,384
EDFH,HHN,FRANKFURT HAHN,HAHN,GERMANY,49,56,59,N,7,15,50,E,1649
EDFM,MHG,MANNHEIM CITY,MANNHEIM,GERMANY,49,28,21,N,8,30,49,E,309
EDFQ,N/A,ALLENDORF EDER,ALLENDORF,GERMANY,51,2,7,N,8,40,44,E,1166
EDFV,N/A,WORMS,WORMS,GERMANY,49,36,23,N,8,22,6,E,295
EDFZ,N/A,MAINZ FINTHEN,MAINZ,GERMANY,49,58,8,N,8,8,51,E,760
EDGE,N/A,EISENACH KINDEL,EISENACH,GERMANY,50,59,34,N,10,28,21,E,1101
EDGS,N/A,SIEGERLAND,SIEGERLAND,GERMANY,50,42,27,N,8,4,55,E,1966
EDHI,XFW,HAMBURG FINKENWERDER,HAMBURG,GERMANY,53,32,7,N,9,50,7,E,18
EDHK,KEL,KIEL HOLTENAU,KIEL,GERMANY,54,22,46,N,10,8,42,E,101
EDHL,LBC,LUBECK BLANKENSEE,LUEBECK,GERMANY,53,48,19,N,10,43,9,E,54
