vehicle,time,lat[D.DDD],lon[D.DDD]
veh_2,13:32:40.38,35.7189399,-120.7641007
veh_2,13:32:41.00,35.7189147,-120.7640273
veh_2,13:32:41.35,35.7188898,-120.7639522
veh_2,13:32:41.73,35.7188641,-120.7638765
veh_2,13:32:42.58,35.7188134,-120.7637247
veh_2,13:32:42.81,35.7187896,-120.7636476
veh_2,13:32:43.21,35.7187774,-120.7636087
veh_2,13:32:43.49,35.7187534,-120.7635293
veh_2,13:32:43.84,35.7187417,-120.7634897
veh_2,13:32:44.25,35.7187184,-120.7634089
veh_2,13:32:44.53,35.7187073,-120.7633678
veh_2,13:32:45.08,35.7186819,-120.7632878
veh_2,13:32:45.69,35.7186282,-120.7631706
veh_2,13:32:46.15,35.7186034,-120.7631382
veh_2,13:32:46.39,35.7185435,-120.7630836
veh_2,13:32:46.68,35.7185119,-120.7630621
veh_2,13:32:47.17,35.7184452,-120.7630253
veh_2,13:32:47.42,35.7183732,-120.7630008
veh_2,13:32:48.76,35.718052,-120.7630527
veh_2,13:32:49.23,35.7179852,-120.7630884
veh_2,13:32:49.67,35.7178866,-120.7631535
veh_2,13:32:50.32,35.7177919,-120.7632273
veh_2,13:32:51.18,35.7176702,-120.7633345
veh_2,13:32:51.60,35.7176096,-120.7633897
veh_2,13:32:52.63,35.7174872,-120.7635001
veh_2,13:32:53.31,35.7173364,-120.7636538
veh_2,13:32:53.73,35.7172913,-120.7637382
veh_2,13:32:54.17,35.71727,-120.7638324
veh_2,13:32:54.53,35.7172647,-120.7639266
veh_2,13:32:55.01,35.7172648,-120.76402
veh_2,13:32:55.43,35.7172724,-120.7641132
veh_2,13:32:55.81,35.7172859,-120.7642044
veh_2,13:32:56.28,35.7173051,-120.7642925
veh_2,13:32:56.68,35.7173437,-120.7644265
veh_2,13:32:57.07,35.7173751,-120.7645131
veh_2,13:32:57.46,35.7174103,-120.7645936
veh_2,13:32:57.97,35.7174467,-120.7646714
veh_2,13:32:58.25,35.7174835,-120.7647466
veh_2,13:32:59.01,35.7175384,-120.7648592
veh_2,13:32:59.32,35.7175755,-120.7649325
veh_2,13:32:59.71,35.7175931,-120.7649695
veh_2,13:33:00.36,35.7176472,-120.7650803
veh_2,13:33:01.08,35.7177,-120.7651898
veh_2,13:33:01.46,35.7177348,-120.7652616
veh_2,13:33:01.76,35.717752,-120.7652974
veh_2,13:33:02.46,35.7178035,-120.7654053
veh_2,13:33:03.12,35.7178555,-120.7655133
veh_2,13:33:03.65,35.7179067,-120.7656223
veh_2,13:33:03.97,35.7179405,-120.7656957
veh_2,13:33:04.26,35.7179743,-120.7657701
veh_2,13:33:04.90,35.7180226,-120.7658842
veh_2,13:33:05.57,35.7180845,-120.7660371
veh_2,13:33:05.91,35.7181144,-120.7661131
veh_2,13:33:06.18,35.7181439,-120.7661896
veh_2,13:33:06.53,35.7181754,-120.7662653
veh_2,13:33:06.87,35.718211,-120.7663356
veh_2,13:33:07.28,35.7182599,-120.7663972
veh_2,13:33:07.70,35.7183242,-120.7664319
veh_2,13:33:08.50,35.718423,-120.7664596
veh_2,13:33:08.80,35.7184907,-120.7664689
veh_2,13:33:09.26,35.7185589,-120.7664666
veh_2,13:33:09.72,35.7186267,-120.7664553
veh_2,13:33:10.73,35.7188191,-120.7663746
veh_2,13:33:11.49,35.7189376,-120.7662994
veh_2,13:33:11.83,35.7189936,-120.7662571
veh_2,13:33:12.60,35.7190757,-120.7661921
veh_2,13:33:13.39,35.7191837,-120.7661018
veh_2,13:33:14.01,35.7192646,-120.7660297
veh_2,13:33:14.35,35.7193133,-120.7659729
veh_2,13:33:14.73,35.7193559,-120.7659061
veh_2,13:33:15.49,35.7193859,-120.7657868
veh_2,13:33:15.74,35.7193953,-120.7657057
veh_2,13:33:16.04,35.7193981,-120.7656652
veh_2,13:33:16.46,35.7193985,-120.7655827
veh_2,13:33:16.71,35.7193943,-120.7655005
veh_2,13:33:17.08,35.7193877,-120.7654189
veh_2,13:33:17.50,35.7193835,-120.7653772
veh_2,13:33:17.83,35.7193713,-120.7652965
veh_2,13:33:18.28,35.719355,-120.7652171
veh_2,13:33:18.84,35.7193441,-120.7651775
veh_2,13:33:19.15,35.7193224,-120.7650986
veh_2,13:33:19.40,35.7192973,-120.7650198
veh_2,13:33:19.76,35.7192703,-120.7649421
veh_2,13:33:20.32,35.7192267,-120.7648252
veh_2,13:33:20.63,35.7191961,-120.764748
veh_2,13:33:20.89,35.719181,-120.7647092
veh_2,13:33:21.19,35.7191506,-120.764632
veh_2,13:33:21.50,35.7191202,-120.7645541
veh_2,13:33:21.86,35.7191051,-120.7645155
veh_2,13:33:22.22,35.7190745,-120.7644391
veh_2,13:33:22.76,35.7190458,-120.7643628
veh_2,13:33:23.01,35.7190158,-120.7642894
veh_2,13:33:23.81,35.7189728,-120.7641787
veh_2,13:33:24.18,35.7189462,-120.7641049
veh_2,13:33:24.46,35.718934,-120.7640674
veh_2,13:33:24.76,35.7189082,-120.7639916
veh_2,13:33:25.04,35.7188817,-120.7639164
veh_2,13:33:25.29,35.7188685,-120.7638786
veh_2,13:33:25.60,35.7188421,-120.7638027
veh_2,13:33:25.90,35.7188153,-120.7637265
veh_2,13:33:26.28,35.7187879,-120.7636494
veh_2,13:33:26.67,35.7187754,-120.7636105
veh_2,13:33:27.04,35.7187509,-120.763532
veh_2,13:33:27.50,35.7187267,-120.7634535
veh_2,13:33:28.30,35.7186899,-120.7633336
veh_2,13:33:28.73,35.7186595,-120.763256
veh_2,13:33:29.13,35.7186204,-120.7631786
veh_2,13:33:29.56,35.7185938,-120.7631454
veh_2,13:33:29.83,35.7185295,-120.7630949
veh_2,13:33:30.14,35.7184602,-120.7630618
veh_2,13:33:30.59,35.71839,-120.7630345
veh_2,13:33:31.07,35.7183178,-120.7630167
veh_2,13:33:31.35,35.7182444,-120.7630095
veh_2,13:33:31.63,35.7181663,-120.7630092
veh_2,13:33:31.90,35.7180871,-120.7630297
veh_2,13:33:32.22,35.7180119,-120.7630622
veh_2,13:33:32.93,35.717875,-120.7631503
veh_2,13:33:33.32,35.7178102,-120.7632006
veh_2,13:33:34.22,35.7176824,-120.7633064
veh_2,13:33:34.51,35.7176188,-120.7633636
veh_2,13:33:34.95,35.7175557,-120.7634188
veh_2,13:33:35.38,35.7174933,-120.7634741
veh_2,13:33:35.76,35.7174629,-120.763501
veh_2,13:33:36.03,35.717401,-120.7635575
veh_2,13:33:37.31,35.7172741,-120.7637399
veh_2,13:33:37.86,35.717248,-120.7639253
veh_2,13:33:38.15,35.7172471,-120.7639712
veh_2,13:33:38.46,35.7172506,-120.7640629
veh_2,13:33:38.83,35.7172639,-120.7641533
veh_2,13:33:39.44,35.7172946,-120.7642863
