vehicle,time,aspd[m/s],gspd[m/s],hdg,alt[m-msl]
veh_1,12:20:08.17,1.23582053185,0.239999994636,214.0,275.410003662
veh_1,12:20:08.42,0.947390437126,0.0899999961257,214.0,275.410003662
veh_1,12:20:08.67,1.28039014339,0.119999997318,214.0,275.450012207
veh_1,12:20:09.01,0.799799144268,0.109999999404,214.0,275.269989014
veh_1,12:20:09.38,1.84582042694,0.0899999961257,214.0,275.209991455
veh_1,12:20:09.69,1.79592227936,0.0899999961257,214.0,275.019989014
veh_1,12:20:10.41,1.12278616428,0.0799999982119,214.0,274.980010986
veh_1,12:20:11.21,0.622445940971,0.0499999970198,214.0,274.839996338
veh_1,12:20:11.46,0.547870457172,0.209999993443,214.0,274.730010986
veh_1,12:20:12.07,1.33786737919,0.070000000298,214.0,274.549987793
veh_1,12:20:12.34,1.57283043861,0.0899999961257,214.0,274.329986572
veh_1,12:20:12.63,2.10031414032,0.140000000596,214.0,274.170013428
veh_1,12:20:12.96,2.451151371,0.0399999991059,214.0,274.179992676
veh_1,12:20:13.24,2.19105410576,0.109999999404,214.0,274.190002441
veh_1,12:20:13.52,1.74437403679,0.109999999404,214.0,274.130004883
veh_1,12:20:13.83,0.944824159145,0.0599999986589,214.0,273.970001221
veh_1,12:20:14.09,1.32694232464,0.0999999940395,214.0,273.859985352
veh_1,12:20:14.40,1.96965575218,0.070000000298,214.0,273.839996338
veh_1,12:20:15.02,1.72015309334,0.0999999940395,214.0,273.820007324
veh_1,12:20:15.28,1.78481793404,0.0899999961257,214.0,273.75
veh_1,12:20:15.53,2.36310005188,0.219999998808,214.0,273.549987793
veh_1,12:20:15.86,2.02578949928,0.0999999940395,214.0,273.549987793
veh_1,12:20:16.47,1.72806549072,0.0599999986589,214.0,273.359985352
veh_1,12:20:16.73,1.68623220921,0.070000000298,214.0,273.309997559
veh_1,12:20:17.07,1.86145746708,0.149999991059,214.0,273.350006104
veh_1,12:20:17.35,1.62930095196,0.109999999404,214.0,273.309997559
veh_1,12:20:17.69,1.29484295845,0.269999980927,214.0,273.230010986
veh_1,12:20:18.04,0.728994250298,0.0899999961257,214.0,273.179992676
veh_1,12:20:18.67,1.2023935318,0.109999999404,214.0,273.179992676
veh_1,12:20:18.97,1.13226878643,0.159999996424,214.0,273.160003662
veh_1,12:20:19.25,1.29433059692,0.109999999404,214.0,273.170013428
veh_1,12:20:19.70,1.25686824322,0.0399999991059,214.0,273.279998779
veh_1,12:20:20.12,0.900635838509,0.119999997318,214.0,273.260009766
veh_1,12:20:20.39,1.79927444458,0.0599999986589,214.0,273.239990234
veh_1,12:20:20.82,1.14534854889,0.189999997616,214.0,273.339996338
veh_1,12:20:21.08,1.56185591221,0.119999997318,214.0,273.339996338
veh_1,12:20:21.37,1.7657636404,0.0599999986589,214.0,273.450012207
veh_1,12:20:21.69,1.68012487888,0.0299999993294,214.0,273.549987793
veh_1,12:20:22.68,1.19016122818,0.140000000596,214.0,273.600006104
veh_1,12:20:22.94,0.757673144341,0.0499999970198,214.0,273.540008545
veh_1,12:20:23.73,1.71767342091,0.149999991059,214.0,273.510009766
veh_1,12:20:24.13,1.72280681133,0.109999999404,214.0,273.570007324
veh_1,12:20:24.43,1.85365200043,0.0899999961257,214.0,273.630004883
veh_1,12:20:24.76,1.37958014011,0.0899999961257,214.0,273.640014648
veh_1,12:20:25.01,1.1072152853,0.189999997616,214.0,273.630004883
veh_1,12:20:25.26,1.86754453182,0.0799999982119,214.0,273.589996338
